,Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Distance_bins,Total_spaces_new
0,Airport West,3,t,Nelson,2016-03-09,13.5,3042.0,3,2,1,303.0,Western Metropolitan,3464,840000,Nearby,6
1,Albert Park,2,h,hockingstuart,2016-03-09,3.3,3206.0,2,1,0,120.0,Southern Metropolitan,3280,1275000,Nearby,3
2,Albert Park,2,h,Thomson,2016-03-09,3.3,3206.0,2,1,0,159.0,Southern Metropolitan,3280,1455000,Nearby,3
3,Alphington,4,h,Brace,2016-03-09,6.4,3078.0,3,2,4,853.0,Northern Metropolitan,2211,2000000,Nearby,9
4,Alphington,3,h,Jellis,2016-03-09,6.4,3078.0,3,2,2,208.0,Northern Metropolitan,2211,1110000,Nearby,7
5,Altona,3,h,Greg,2016-03-09,13.8,3018.0,3,2,1,352.0,Western Metropolitan,5301,520000,Nearby,6
6,Altona North,5,h,FN,2016-03-09,11.1,3025.0,5,3,6,592.0,Western Metropolitan,5132,1085000,Nearby,14
7,Altona North,3,h,Jas,2016-03-09,11.1,3025.0,3,1,2,533.0,Western Metropolitan,5132,781000,Nearby,6
8,Altona North,4,h,hockingstuart,2016-03-09,11.1,3025.0,3,1,1,537.0,Western Metropolitan,5132,857500,Nearby,5
9,Armadale,2,u,Jellis,2016-03-09,6.3,3143.0,2,1,1,50.0,Southern Metropolitan,4836,599000,Nearby,4
10,Ascot Vale,2,u,Nelson,2016-03-09,5.9,3032.0,3,1,2,50.0,Western Metropolitan,6567,455000,Nearby,6
11,Ashburton,4,h,Marshall,2016-03-09,11.0,3147.0,4,3,2,753.0,Southern Metropolitan,3052,2650000,Nearby,9
12,Ashburton,2,h,Marshall,2016-03-09,11.0,3147.0,3,1,1,593.0,Southern Metropolitan,3052,1820000,Nearby,5
13,Ashwood,2,h,Tim,2016-03-09,12.2,3147.0,2,1,1,583.0,Southern Metropolitan,2894,995000,Nearby,4
14,Avondale Heights,4,h,Jellis,2016-03-09,10.5,3034.0,3,1,1,537.0,Western Metropolitan,4502,1310000,Nearby,5
15,Avondale Heights,3,h,Moonee,2016-03-09,10.5,3034.0,3,1,1,593.0,Western Metropolitan,4502,850000,Nearby,5
16,Avondale Heights,3,h,Moonee,2016-03-09,10.5,3034.0,3,1,1,50.0,Western Metropolitan,4502,750000,Nearby,5
17,Balaclava,4,h,Gary,2016-03-09,6.6,3183.0,3,2,1,244.0,Southern Metropolitan,2952,1819000,Nearby,6
18,Balwyn,2,h,Marshall,2016-03-09,9.7,3103.0,2,1,1,659.0,Southern Metropolitan,5682,2100000,Nearby,4
19,Balwyn,4,h,Marshall,2016-03-09,9.7,3103.0,4,2,2,715.0,Southern Metropolitan,5682,1800000,Nearby,8
20,Balwyn,2,t,Noel,2016-03-09,9.7,3103.0,2,1,1,208.0,Southern Metropolitan,5682,1255000,Nearby,4
21,Balwyn North,3,t,hockingstuart,2016-03-09,9.2,3104.0,3,2,2,260.0,Southern Metropolitan,7809,1315000,Nearby,7
22,Balwyn North,3,h,Jellis,2016-03-09,9.2,3104.0,3,2,1,778.0,Southern Metropolitan,7809,1500000,Nearby,6
23,Balwyn North,4,h,Jellis,2016-03-09,9.2,3104.0,4,4,3,1135.0,Southern Metropolitan,7809,3230000,Nearby,11
24,Balwyn North,2,h,Jellis,2016-03-09,9.2,3104.0,2,1,1,253.0,Southern Metropolitan,7809,1080000,Nearby,4
25,Balwyn North,4,u,hockingstuart,2016-03-09,9.2,3104.0,1,1,1,50.0,Southern Metropolitan,7809,1450000,Nearby,3
26,Balwyn North,2,h,Fletchers,2016-03-09,9.2,3104.0,3,1,1,593.0,Southern Metropolitan,7809,1305000,Nearby,5
27,Bentleigh,2,u,hockingstuart,2016-03-09,13.0,3204.0,2,1,2,202.0,Southern Metropolitan,6795,636000,Nearby,5
28,Bentleigh,2,h,Woodards,2016-03-09,13.0,3204.0,2,1,2,599.0,Southern Metropolitan,6795,1275000,Nearby,5
29,Bentleigh,3,u,hockingstuart,2016-03-09,13.0,3204.0,3,1,2,348.0,Southern Metropolitan,6795,875000,Nearby,6
30,Bentleigh,4,t,hockingstuart,2016-03-09,13.0,3204.0,3,2,1,267.0,Southern Metropolitan,6795,1230000,Nearby,6
31,Bentleigh,3,t,Ray,2016-03-09,13.0,3204.0,3,2,2,362.0,Southern Metropolitan,6795,895000,Nearby,7
32,Bentleigh,3,t,C21,2016-03-09,13.0,3204.0,3,2,1,267.0,Southern Metropolitan,6795,1020000,Nearby,6
33,Bentleigh East,2,h,hockingstuart,2016-03-09,13.9,3165.0,2,1,2,768.0,Southern Metropolitan,10969,1410000,Nearby,5
34,Bentleigh East,3,t,Buxton,2016-03-09,13.9,3165.0,3,2,1,267.0,Southern Metropolitan,10969,990000,Nearby,6
35,Bentleigh East,3,h,Buxton,2016-03-09,13.9,3165.0,3,1,1,593.0,Southern Metropolitan,10969,1057000,Nearby,5
36,Bentleigh East,3,t,hockingstuart,2016-03-09,13.9,3165.0,3,1,2,287.0,Southern Metropolitan,10969,760000,Nearby,6
37,Bentleigh East,2,h,Buxton,2016-03-09,13.9,3165.0,2,2,1,176.0,Southern Metropolitan,10969,825000,Nearby,5
38,Box Hill,4,h,hockingstuart,2016-03-09,13.1,3128.0,4,2,2,697.0,Eastern Metropolitan,4605,1620000,Nearby,8
39,Braybrook,3,h,Barry,2016-03-09,10.8,3019.0,3,2,4,700.0,Western Metropolitan,3589,870000,Nearby,9
40,Braybrook,2,h,Barry,2016-03-09,10.8,3019.0,2,1,1,566.0,Western Metropolitan,3589,645000,Nearby,4
41,Brighton,3,h,Buxton,2016-03-09,11.2,3186.0,3,2,2,663.0,Southern Metropolitan,10579,1550000,Nearby,7
42,Brighton,3,h,Buxton,2016-03-09,11.2,3186.0,3,1,2,366.0,Southern Metropolitan,10579,1635000,Nearby,6
43,Brighton East,4,h,hockingstuart,2016-03-09,10.7,3187.0,4,2,2,682.0,Southern Metropolitan,6938,1940000,Nearby,8
44,Brighton East,4,h,Nick,2016-03-09,10.7,3187.0,4,2,2,617.0,Southern Metropolitan,6938,1850000,Nearby,8
45,Brighton East,2,h,Nick,2016-03-09,10.7,3187.0,3,1,1,593.0,Southern Metropolitan,6938,1060000,Nearby,5
46,Brighton East,3,h,Marshall,2016-03-09,10.7,3187.0,3,1,1,329.0,Southern Metropolitan,6938,930000,Nearby,5
47,Brighton East,5,h,Gary,2016-03-09,10.7,3187.0,3,1,1,593.0,Southern Metropolitan,6938,1952000,Nearby,5
48,Brunswick,2,u,Brad,2016-03-09,5.2,3056.0,2,1,2,50.0,Northern Metropolitan,11918,428000,Nearby,5
49,Brunswick,2,h,Nelson,2016-03-09,5.2,3056.0,2,1,0,225.0,Northern Metropolitan,11918,1026000,Nearby,3
50,Brunswick West,2,u,Peter,2016-03-09,5.9,3055.0,2,1,1,50.0,Northern Metropolitan,7082,521500,Nearby,4
